db_name, db_path, type, is_readopt, num_nodes, num_edges, t_e_read, t_e_insert, t_n_read, t_n_insert
s10_e8,/home/jackgong/margraphita/db/s10_e8/s10_e8,std,1,992,8192,825,1573,185,179
s10_e8,/home/jackgong/margraphita/db/s10_e8/s10_e8,std,0,992,8192,832,1590,174,179
s10_e8,/home/jackgong/margraphita/db/s10_e8/s10_e8,adj,1,992,8192,826,1556,184,763
s10_e8,/home/jackgong/margraphita/db/s10_e8/s10_e8,adj,0,992,8192,838,1703,181,781
s10_e8,/home/jackgong/margraphita/db/s10_e8/s10_e8,ekey,1,992,8192,854,1572,183,376
s10_e8,/home/jackgong/margraphita/db/s10_e8/s10_e8,ekey,0,992,8192,818,1516,179,202
s11_e8,/home/jackgong/margraphita/db/s11_e8/s11_e8,std,1,1963,16384,1634,3170,312,346
s11_e8,/home/jackgong/margraphita/db/s11_e8/s11_e8,std,0,1963,16384,1690,3195,306,347
s11_e8,/home/jackgong/margraphita/db/s11_e8/s11_e8,adj,1,1963,16384,1675,3358,315,1460
s11_e8,/home/jackgong/margraphita/db/s11_e8/s11_e8,adj,0,1963,16384,1799,3366,309,1383
s11_e8,/home/jackgong/margraphita/db/s11_e8/s11_e8,ekey,1,1963,16384,1726,3489,315,776
s11_e8,/home/jackgong/margraphita/db/s11_e8/s11_e8,ekey,0,1963,16384,1731,3609,310,435
s10_e8,/home/jackgong/margraphita/db/s10_e8/s10_e8,std,1,992,8192,871,1657,183,184
s10_e8,/home/jackgong/margraphita/db/s10_e8/s10_e8,std,0,992,8192,829,1623,181,172
s10_e8,/home/jackgong/margraphita/db/s10_e8/s10_e8,adj,1,992,8192,984,1948,186,768
s10_e8,/home/jackgong/margraphita/db/s10_e8/s10_e8,adj,0,992,8192,966,1888,181,753
s10_e8,/home/jackgong/margraphita/db/s10_e8/s10_e8,ekey,1,992,8192,1016,1875,178,392
s10_e8,/home/jackgong/margraphita/db/s10_e8/s10_e8,ekey,0,992,8192,818,1578,177,217
s11_e8,/home/jackgong/margraphita/db/s11_e8/s11_e8,std,1,1963,16384,1791,3579,311,358
s11_e8,/home/jackgong/margraphita/db/s11_e8/s11_e8,std,0,1963,16384,1648,3195,310,330
s11_e8,/home/jackgong/margraphita/db/s11_e8/s11_e8,adj,1,1963,16384,1707,3298,320,1406
s11_e8,/home/jackgong/margraphita/db/s11_e8/s11_e8,adj,0,1963,16384,1676,3288,309,1419
s11_e8,/home/jackgong/margraphita/db/s11_e8/s11_e8,ekey,1,1963,16384,1760,3229,315,722
s11_e8,/home/jackgong/margraphita/db/s11_e8/s11_e8,ekey,0,1963,16384,1680,3253,317,397
s12_e8,/home/jackgong/margraphita/db/s12_e8/s12_e8,std,1,3910,32768,3314,6099,610,659
s12_e8,/home/jackgong/margraphita/db/s12_e8/s12_e8,std,0,3910,32768,3356,6018,606,615
s12_e8,/home/jackgong/margraphita/db/s12_e8/s12_e8,adj,1,3910,32768,3317,6203,611,2768
s12_e8,/home/jackgong/margraphita/db/s12_e8/s12_e8,adj,0,3910,32768,3262,6025,604,2758
s12_e8,/home/jackgong/margraphita/db/s12_e8/s12_e8,ekey,1,3910,32768,3342,6243,610,1470
s12_e8,/home/jackgong/margraphita/db/s12_e8/s12_e8,ekey,0,3910,32768,3335,6134,618,788
s13_e8,/home/jackgong/margraphita/db/s13_e8/s13_e8,std,1,7730,65536,6531,13454,1219,1436
s13_e8,/home/jackgong/margraphita/db/s13_e8/s13_e8,std,0,7730,65536,6549,12484,1234,1257
s13_e8,/home/jackgong/margraphita/db/s13_e8/s13_e8,adj,1,7730,65536,6648,12525,1227,5658
s13_e8,/home/jackgong/margraphita/db/s13_e8/s13_e8,adj,0,7730,65536,6526,11854,1230,5435
