experiment,graph_type,mode,sf,query_params,p50_ms,p95_ms,p99_ms,max_ms,throughput_ops_per_sec,n_measured
w1_insert_person,adj,col,3,pid=999999,0.412595,0.412595,0.412595,0.412595,2423.684,1
w2_insert_knows,adj,col,3,src=0;dst=1,0.453742,0.453742,0.453742,0.453742,2203.896,1
w3_insert_post_with_creator,adj,col,3,author=0,0.436019,0.436019,0.436019,0.436019,2293.478,1
x4_insert_likes,adj,col,3,pid=0;post=0,0.116844,0.116844,0.116844,0.116844,8558.420,1
r1,adj,col,3,pid=0,0.014158,0.018339,0.326047,0.326047,51100.396,100
r2,adj,col,3,pid=0,0.020048,0.023628,0.027230,0.027230,48169.858,100
r3,adj,col,3,pid=0;dst=1,0.021468,0.021985,0.028206,0.028206,46299.190,100
x1,adj,col,3,post=0,0.007631,0.013067,0.578853,0.578853,51305.731,100
x2,adj,col,3,post=0,0.010623,0.011951,0.441824,0.441824,56855.687,100
x3,adj,col,3,pid=0;cutoff=MAX,1.866110,1.886000,1.989048,1.989048,534.840,100
x5,adj,col,3,post=0;lo=0;hi=MAX,0.007684,0.009195,0.605433,0.605433,50559.849,100
a1,adj,col,3,pid=0,0.012730,0.015840,0.385536,0.385536,59044.216,100
a2,adj,col,3,pid=0;lo=0;hi=MAX,0.016873,0.019287,0.023114,0.023114,57592.805,100
a3,adj,col,3,pid=1;lo=0;hi=MAX,0.022239,0.024441,0.026299,0.026299,44106.121,100
ic3,adj,col,3,pid=0,29.011308,30.212616,32.980095,32.980095,34.266,100
ic5,adj,col,3,pid=0;since=0,15.150652,16.065284,17.665776,17.665776,65.590,100
ic7,adj,col,3,pid=0,0.473606,0.481073,0.484958,0.484958,2110.308,100
ic8,adj,col,3,pid=0,0.468793,0.474339,0.494893,0.494893,2129.693,100
ic9,adj,col,3,pid=0;cutoff=MAX,17.708388,19.547775,35.562135,35.562135,55.025,100
bi1,adj,col,3,total_posts,403.770807,418.811708,459.448112,459.448112,2.459,100
bi2,adj,col,3,lo1=1325376000000;hi1=1341100800000,1353.281922,1374.919174,1396.615215,1396.615215,0.738,100
bi12,adj,col,3,max_date=MAX;min_length=0,1244.563406,1294.978883,1314.564878,1314.564878,0.799,100
x3_cached,adj,col,3,pid=0;cutoff=MAX,1.794266,1.816270,1.820770,1.820770,556.971,100
ic7_cached,adj,col,3,pid=0,0.055884,0.060817,0.064057,0.064057,17810.635,100
ic9_cached,adj,col,3,pid=0;cutoff=MAX,16.248286,16.736268,18.285250,18.285250,61.386,100
ic5_cached,adj,col,3,pid=0;since=0,14.894544,15.980191,16.191880,16.191880,66.184,100
ic3_cached,adj,col,3,pid=0,2.642704,2.683912,2.777978,2.777978,378.063,100
bi1_parallel,adj,col,3,threads=28,111.002955,111.002955,111.002955,111.002955,9.009,1
bi12_parallel,adj,col,3,threads=28,201.626065,201.626065,201.626065,201.626065,4.960,1
bi12_fast_v2,adj,col,3,max_date=MAX;min_length=0,1255.114239,1255.114239,1255.114239,1255.114239,0.797,1
