experiment,graph_type,mode,sf,query_params,p50_ms,p95_ms,p99_ms,max_ms,throughput_ops_per_sec,n_measured
w1_insert_person,adj,emb,3,pid=999999,0.109541,0.109541,0.109541,0.109541,9129.002,1
w2_insert_knows,adj,emb,3,src=0;dst=1,0.165338,0.165338,0.165338,0.165338,6048.216,1
w3_insert_post_with_creator,adj,emb,3,author=0,0.169979,0.169979,0.169979,0.169979,5883.080,1
x4_insert_likes,adj,emb,3,pid=0;post=0,0.011288,0.011288,0.011288,0.011288,88589.653,1
r1,adj,emb,3,pid=0,0.007278,0.016787,2.929270,2.929270,20982.259,100
r2,adj,emb,3,pid=0,0.015525,0.017693,0.024550,0.024550,63316.987,100
r3,adj,emb,3,pid=0;dst=1,0.011295,0.014232,0.223086,0.223086,70646.564,100
x1,adj,emb,3,post=0,0.006048,0.008548,0.372075,0.372075,74822.129,100
x2,adj,emb,3,post=0,0.008381,0.012062,0.088506,0.088506,96465.876,100
x3,adj,emb,3,pid=0;cutoff=MAX,0.243271,0.266977,0.293096,0.293096,4066.132,100
x5,adj,emb,3,post=0;lo=0;hi=MAX,0.010166,0.010931,1.404789,1.404789,35226.599,100
a1,adj,emb,3,pid=0,0.009652,0.012679,0.518468,0.518468,56498.484,100
a2,adj,emb,3,pid=0;lo=0;hi=MAX,0.012759,0.022485,1.242004,1.242004,37633.670,100
a3,adj,emb,3,pid=1;lo=0;hi=MAX,0.013812,0.016357,1.918297,1.918297,29999.175,100
ic3,adj,emb,3,pid=0,29.019962,31.203716,32.540825,32.540825,34.243,100
ic5,adj,emb,3,pid=0;since=0,2.645174,2.665760,2.681154,2.681154,378.229,100
ic7,adj,emb,3,pid=0,0.376897,0.381520,0.382942,0.382942,2644.813,100
ic8,adj,emb,3,pid=0,0.396816,0.401089,0.403709,0.403709,2512.495,100
ic9,adj,emb,3,pid=0;cutoff=MAX,1.467633,1.533951,1.543110,1.543110,678.708,100
x3_cached,adj,emb,3,pid=0;cutoff=MAX,0.146959,0.150957,0.152623,0.152623,6786.122,100
ic7_cached,adj,emb,3,pid=0,0.006812,0.007052,0.008384,0.008384,146184.084,100
ic9_cached,adj,emb,3,pid=0;cutoff=MAX,1.236486,1.257106,1.321031,1.321031,806.392,100
ic5_cached,adj,emb,3,pid=0;since=0,2.323881,2.333772,2.348313,2.348313,430.162,100
ic3_cached,adj,emb,3,pid=0,2.449660,7.585525,8.534835,8.534835,311.118,100
