experiment,graph_type,mode,sf,query_params,p50_ms,p95_ms,p99_ms,max_ms,throughput_ops_per_sec,n_measured
w1_insert_person,splitekey,col,3,pid=999999,0.260425,0.260425,0.260425,0.260425,3839.877,1
w2_insert_knows,splitekey,col,3,src=0;dst=1,0.331609,0.331609,0.331609,0.331609,3015.600,1
w3_insert_post_with_creator,splitekey,col,3,author=0,0.148864,0.148864,0.148864,0.148864,6717.541,1
x4_insert_likes,splitekey,col,3,pid=0;post=0,0.211083,0.211083,0.211083,0.211083,4737.473,1
r1,splitekey,col,3,pid=0,0.007086,0.020000,1.468376,1.468376,31572.872,100
r2,splitekey,col,3,pid=0,0.015847,0.018809,0.020319,0.020319,61137.475,100
r3,splitekey,col,3,pid=0;dst=1,0.066990,0.070305,0.070920,0.070920,14891.483,100
x1,splitekey,col,3,post=0,0.005170,0.007999,0.353579,0.353579,111464.702,100
x2,splitekey,col,3,post=0,0.010519,0.012248,0.461862,0.461862,64099.030,100
x3,splitekey,col,3,pid=0;cutoff=MAX,6.766850,6.971766,7.032675,7.032675,147.486,100
x5,splitekey,col,3,post=0;lo=0;hi=MAX,0.008866,0.018758,1.195909,1.195909,44824.155,100
a1,splitekey,col,3,pid=0,0.012042,0.012669,0.324855,0.324855,65343.547,100
a2,splitekey,col,3,pid=0;lo=0;hi=MAX,0.015748,0.017917,0.021191,0.021191,61915.978,100
a3,splitekey,col,3,pid=1;lo=0;hi=MAX,0.022339,0.024442,0.026254,0.026254,43972.473,100
ic3,splitekey,col,3,pid=0,125.861448,131.132801,148.948977,148.948977,7.904,100
ic5,splitekey,col,3,pid=0;since=0,19.667945,20.687070,22.867175,22.867175,50.482,100
ic7,splitekey,col,3,pid=0,0.734616,0.775554,0.789404,0.789404,1346.037,100
ic8,splitekey,col,3,pid=0,0.742946,0.750480,0.751614,0.751614,1346.635,100
ic9,splitekey,col,3,pid=0;cutoff=MAX,22.227724,23.212155,25.430311,25.430311,44.825,100
bi1,splitekey,col,3,total_posts,399.242760,409.114784,449.160890,449.160890,2.491,100
bi2,splitekey,col,3,lo1=1325376000000;hi1=1341100800000,1336.742482,1359.372838,1405.864431,1405.864431,0.747,100
bi12,splitekey,col,3,max_date=MAX;min_length=0,1546.689016,1578.521771,1647.809262,1647.809262,0.646,100
x3_cached,splitekey,col,3,pid=0;cutoff=MAX,1.787567,1.798931,1.847004,1.847004,559.242,100
ic7_cached,splitekey,col,3,pid=0,0.004795,0.011566,1.470372,1.470372,29418.133,100
ic9_cached,splitekey,col,3,pid=0;cutoff=MAX,16.483800,17.239492,19.038133,19.038133,60.297,100
ic5_cached,splitekey,col,3,pid=0;since=0,14.219610,14.798604,15.140209,15.140209,70.087,100
ic3_cached,splitekey,col,3,pid=0,2.627201,2.660659,2.671418,2.671418,380.913,100
bi1_parallel,splitekey,col,3,threads=28,110.732339,110.732339,110.732339,110.732339,9.031,1
bi12_parallel,splitekey,col,3,threads=28,218.146887,218.146887,218.146887,218.146887,4.584,1
bi12_fast_v2,splitekey,col,3,max_date=MAX;min_length=0,1571.345892,1571.345892,1571.345892,1571.345892,0.636,1
