experiment,graph_type,mode,sf,query_params,p50_ms,p95_ms,p99_ms,max_ms,throughput_ops_per_sec,n_measured
w1_insert_person,splitekey,emb,3,pid=999999,0.031704,0.031704,0.031704,0.031704,31541.761,1
w2_insert_knows,splitekey,emb,3,src=0;dst=1,0.183050,0.183050,0.183050,0.183050,5462.988,1
w3_insert_post_with_creator,splitekey,emb,3,author=0,0.014121,0.014121,0.014121,0.014121,70816.514,1
x4_insert_likes,splitekey,emb,3,pid=0;post=0,0.011026,0.011026,0.011026,0.011026,90694.722,1
r1,splitekey,emb,3,pid=0,0.011898,0.014933,0.067289,0.067289,78410.340,100
r2,splitekey,emb,3,pid=0,0.019706,0.021008,0.023698,0.023698,50363.778,100
r3,splitekey,emb,3,pid=0;dst=1,0.066948,0.071443,0.080793,0.080793,14837.709,100
x1,splitekey,emb,3,post=0,0.011500,0.014989,0.023868,0.023868,85005.317,100
x2,splitekey,emb,3,post=0,0.008243,0.013135,0.270841,0.270841,88090.127,100
x3,splitekey,emb,3,pid=0;cutoff=MAX,5.354974,5.576490,5.705758,5.705758,185.704,100
x5,splitekey,emb,3,post=0;lo=0;hi=MAX,0.009978,0.013062,0.600074,0.600074,56782.822,100
a1,splitekey,emb,3,pid=0,0.010793,0.011714,0.823101,0.823101,52906.666,100
a2,splitekey,emb,3,pid=0;lo=0;hi=MAX,0.019502,0.020781,0.023273,0.023273,50924.172,100
a3,splitekey,emb,3,pid=1;lo=0;hi=MAX,0.030648,0.032172,0.035740,0.035740,32343.190,100
ic3,splitekey,emb,3,pid=0,130.566099,140.428879,142.597908,142.597908,7.586,100
ic5,splitekey,emb,3,pid=0;since=0,7.581749,7.795390,7.945665,7.945665,131.916,100
ic7,splitekey,emb,3,pid=0,0.632504,0.634956,0.639025,0.639025,1582.961,100
ic8,splitekey,emb,3,pid=0,0.657858,0.660509,0.701259,0.701259,1519.315,100
ic9,splitekey,emb,3,pid=0;cutoff=MAX,6.201373,6.341928,6.395782,6.395782,161.078,100
x3_cached,splitekey,emb,3,pid=0;cutoff=MAX,0.147378,0.151808,0.161360,0.161360,6764.495,100
ic7_cached,splitekey,emb,3,pid=0,0.004590,0.008060,0.925371,0.925371,71889.899,100
ic9_cached,splitekey,emb,3,pid=0;cutoff=MAX,1.274625,1.280929,1.282387,1.282387,784.409,100
ic5_cached,splitekey,emb,3,pid=0;since=0,2.339146,2.454915,2.472465,2.472465,425.838,100
ic3_cached,splitekey,emb,3,pid=0,2.402851,2.445487,2.553598,2.553598,417.750,100
