experiment,graph_type,mode,sf,query_params,p50_ms,p95_ms,p99_ms,max_ms,throughput_ops_per_sec,n_measured
w1_insert_person,kuzu,cypher,3,pid=9999999001,190.420322,190.420322,190.420322,190.420322,5.252,1
w2_insert_knows,kuzu,cypher,3,src=65;dst=94,192.303786,192.303786,192.303786,192.303786,5.200,1
w3_insert_post_hasCreator,kuzu,cypher,3,author=65,381.512477,381.512477,381.512477,381.512477,2.621,1
x4_insert_likes,kuzu,cypher,3,pid=94;post=3,191.114957,191.114957,191.114957,191.114957,5.232,1
r1,kuzu,cypher,3,pid=65,0.737508,0.808282,0.816698,0.816698,1338.883,100
r2,kuzu,cypher,3,pid=65,0.608352,0.654598,0.670240,0.670240,1632.428,100
r3,kuzu,cypher,3,pid=65;dst=94,0.597455,0.625709,0.654261,0.654261,1664.846,100
x1,kuzu,cypher,3,post=3,0.437231,0.477141,0.480920,0.480920,2262.780,100
x2,kuzu,cypher,3,post=3,0.439825,0.459659,0.475355,0.475355,2269.923,100
x3,kuzu,cypher,3,pid=65;cutoff=MAX,0.984470,1.017839,1.051326,1.051326,1021.068,100
x5,kuzu,cypher,3,post=3;lo=0;hi=MAX,0.830597,0.859882,0.931019,0.931019,1197.512,100
a1,kuzu,cypher,3,pid=65,2.197889,2.343792,2.397163,2.397163,450.932,100
a2,kuzu,cypher,3,pid=65;lo=0;hi=MAX,0.780492,0.848189,0.864794,0.864794,1270.185,100
a3,kuzu,cypher,3,pid=94;lo=0;hi=MAX,0.787782,0.813001,0.860914,0.860914,1261.822,100
ic7,kuzu,cypher,3,pid=65,1.754205,1.838757,1.923766,1.923766,565.880,100
ic8,kuzu,cypher,3,pid=65,2.261487,2.408735,2.447702,2.447702,437.485,100
ic9,kuzu,cypher,3,pid=65;cutoff=MAX,2.418218,2.522909,2.572911,2.572911,410.425,100
ic5,kuzu,cypher,3,pid=65;since=0,1.334588,1.453347,1.469796,1.469796,739.547,100
ic3,kuzu,cypher,3,pid=65,2.894636,3.039327,3.085163,3.085163,342.413,100
bi1,kuzu,cypher,3,total_posts,851.175016,887.919893,942.218066,942.218066,1.169,100
bi12,kuzu,cypher,3,max_date=MAX;min_length=0,91.208881,96.939142,102.363653,102.363653,10.959,100
bi2,kuzu,cypher,3,lo1=1325376000000;hi1=1341100800000,2349.365263,2402.276957,2467.175655,2467.175655,0.425,100
