#db_name, benchmark, starting node_id, num_visited, sum_out_deg, time_taken_usecs
adj_rd_cit-Patents,bfs,4388714,5,40,85
adj_rd_cit-Patents,bfs,4418236,17,160,300
adj_rd_cit-Patents,bfs,5680971,419,4920,5562
adj_rd_cit-Patents,bfs,4002335,2,10,28
adj_rd_cit-Patents,bfs,5786205,2,10,41
adj_rd_cit-Patents,bfs,4877314,4,30,42
adj_rd_cit-Patents,bfs,3871742,5,40,41
adj_rd_cit-Patents,bfs,5530111,113,1280,1265
adj_rd_cit-Patents,bfs,5067127,827,11310,7933
adj_rd_cit-Patents,bfs,5769336,2249,30410,26361
adj_rd_cit-Patents,bfs,4652130,2,10,57
adj_rd_cit-Patents,bfs,6000727,20483,307810,712636
adj_rd_cit-Patents,bfs,4615412,40,450,1247
adj_rd_cit-Patents,bfs,5353829,1591,19520,68052
adj_rd_cit-Patents,bfs,4382317,13,120,515
adj_rd_cit-Patents,bfs,5146485,119,1480,5120
adj_rd_cit-Patents,bfs,4388714,5,40,164
adj_rd_cit-Patents,bfs,4418236,17,160,451
adj_rd_cit-Patents,bfs,5680971,419,4920,5835
adj_rd_cit-Patents,bfs,4002335,2,10,13
adj_rd_cit-Patents,bfs,5786205,2,10,24
adj_rd_cit-Patents,bfs,4877314,4,30,51
adj_rd_cit-Patents,bfs,3871742,5,40,38
adj_rd_cit-Patents,bfs,5530111,113,1280,1260
adj_rd_cit-Patents,bfs,5067127,827,11310,7754
adj_rd_cit-Patents,bfs,5769336,2249,30410,25542
adj_rd_cit-Patents,bfs,4652130,2,10,50
adj_rd_cit-Patents,bfs,6000727,20483,307810,701353
adj_rd_cit-Patents,bfs,4615412,40,450,1339
adj_rd_cit-Patents,bfs,5353829,1591,19520,67125
adj_rd_cit-Patents,bfs,4382317,13,120,517
adj_rd_cit-Patents,bfs,5146485,119,1480,5240
