#db_name,bmark,map_t,i0,i1,i2,i3,i4,i5,i6,i7,i8,i9
 adj_rd_s10_e8,pr,231,5248,5197,5212,5192,5196,5245,5181,5186,5184,5188
adj_rd_s10_e8,pr,200,5319,5164,5157,5172,5166,5162,5168,5148,5148,5159
adj_rd_s10_e8,pr,174,5667,5197,5349,5181,5215,5195,5195,5169,5327,5149
adj_rd_s10_e8,pr,168,5217,5650,5320,5119,5126,5079,5189,5091,5097,5470
adj_rd_s10_e8,pr,262,5204,5032,5166,5232,5208,5290,5134,5303,5223,5105
adj_rd_s10_e8,pr,205,5251,5086,5081,5101,5222,5225,5104,5086,5060,5471
adj_rd_s10_e8,pr,321,14733,15530,14559,14383,14430,14297,14308,14662,14348,14571
adj_rd_s10_e8,pr,322,14680,14339,14499,14591,14448,14332,14332,14589,14324,14468
adj_rd_s10_e8,pr,320,14688,15180,14992,14407,14449,14422,14345,14571,14318,14475
adj_rd_s10_e8,pr,320,14608,14443,14346,14629,14409,14478,14309,14593,14337,14377
adj_rd_s10_e8,pr,321,14720,14575,15178,14564,14453,14441,14447,14516,14569,14512
adj_rd_s10_e8,pr,320,14727,14867,14567,14719,14879,14675,14533,14705,14705,14529
adj_rd_s10_e8,pr,322,14605,14651,15524,15005,14696,14621,14442,14496,14635,14437
adj_rd_s10_e8,pr,321,14457,14487,14495,14362,14413,14413,14355,14322,14440,14327
adj_rd_s10_e8,pr,736,15188,14649,15082,14612,14316,14490,14403,14369,14503,14397
adj_rd_s10_e8,pr,327,14537,14427,14495,14621,14621,14407,14441,14400,14698,14532
adj_rd_s10_e8,pr,27183,615165,583379,584038,588536,604373,583978,583620,584560,584425,583700
adj_rd_s10_e8,pr,27068,614703,585428,583643,580432,585864,582469,583637,584470,584104,583783
adj_rd_s10_e8,pr,8637,105056,89611,90571,88915,89648,89187,90032,89008,89241,89136
adj_rd_s10_e8,pr,270,6175,5775,6009,5901,5892,5780,6040,5953,6043,5941
adj_rd_s10_e8,pr,305,6152,5762,5788,5907,5832,5871,5901,6216,6140,5821
adj_rd_s10_e8,pr,295,6196,5870,6254,5839,6022,5824,5816,5863,5840,5925
adj_rd_s10_e8,pr,246,6334,5721,6045,6072,5817,5941,5847,5996,6077,6001
adj_rd_s10_e8,pr,240,6014,5687,5933,6010,5822,5999,6184,5930,5823,5934
adj_rd_s10_e8,pr,8243,54635,39953,41452,40646,40598,41337,39618,39147,38922,39066
adj_rd_s10_e8,pr,181,6056,6556,6347,6013,6212,6007,6098,5974,6380,5836
adj_rd_s10_e8,pr,393,17168,16129,15891,16042,15835,15690,15896,15751,15996,16147
adj_rd_s10_e8,pr,414,17565,16186,16588,15642,16043,15778,16004,15722,15984,15963
