#db_name, benchmark, starting node_id, num_visited, sum_out_deg, time_taken_usecs
adj_rd_s14_e8,bfs,14031,9747,1283680,302552
adj_rd_s14_e8,bfs,2378,9746,1283670,584715
adj_rd_s14_e8,bfs,13004,9746,1283670,858940
adj_rd_s14_e8,bfs,13329,9746,1283670,1131405
adj_rd_s14_e8,bfs,12450,9746,1283670,1412991
adj_rd_s14_e8,bfs,6676,9746,1283670,1689233
adj_rd_s14_e8,bfs,15766,9747,1283680,1971619
adj_rd_s14_e8,bfs,8433,9746,1283670,2258051
adj_rd_s14_e8,bfs,9432,9746,1283670,2562836
adj_rd_s14_e8,bfs,3881,9746,1283670,2882203
adj_rd_s14_e8,bfs,1859,9746,1283670,3228087
adj_rd_s14_e8,bfs,11599,9746,1283670,3594460
adj_rd_s14_e8,bfs,2809,9747,1283680,4048701
adj_rd_s14_e8,bfs,3231,9746,1283670,4589230
adj_rd_s14_e8,bfs,8718,9746,1283670,5056459
adj_rd_s14_e8,bfs,5266,9746,1283670,5565671
