#db_name, benchmark, cycle_count, cycle_time_usec, trust_count, trust_time_usecs
adj_rd_s15_e8,tc,5474021,24935217,2641192,26686966
adj_rd_s15_e8,tc,5474021,24906164,1184720,17585845
adj_rd_s15_e8,tc,5474021,24991307,1184720,17647791
adj_rd_s15_e8,tc,5474021,24929842,1184720,17692218
adj_rd_s15_e8,tc,5474021,24919102,1184720,17752248
adj_rd_s15_e8,tc,5474021,24961836,1184720,17585951
adj_rd_s15_e8,tc,5474021,24883565,1184720,17667627
adj_rd_s15_e8,tc,5474021,24891126,1184720,17612431
adj_rd_s15_e8,tc,5474021,24879776,1184720,17608813
adj_rd_s15_e8,tc,5474021,24914803,1184720,17610495
adj_rd_s15_e8,tc,5474021,24915565,1184720,17624059
adj_rd_s15_e8,tc,5474021,24944274,1184720,17612556
adj_rd_s15_e8,tc,5474021,24931701,1184720,17650190
adj_rd_s15_e8,tc,5474021,24909573,1184720,17609291
adj_rd_s15_e8,tc,5474021,24985392,1184720,17629778
adj_rd_s15_e8,tc,5474021,24914161,1184720,17603617
adj_rd_s15_e8,tc,5474021,25033800,2641192,26678293
adj_rd_s15_e8,tc,5474021,24920228,1184720,17642356
adj_rd_s15_e8,tc,5474021,24954378,1184720,17640952
adj_rd_s15_e8,tc,5474021,24910070,1184720,17619580
adj_rd_s15_e8,tc,5474021,24956286,1184720,17611634
adj_rd_s15_e8,tc,5474021,24953285,1184720,17662619
adj_rd_s15_e8,tc,5474021,24920744,1184720,17657091
adj_rd_s15_e8,tc,5474021,24939744,1184720,17617940
adj_rd_s15_e8,tc,5474021,24967723,1184720,18187665
adj_rd_s15_e8,tc,5474021,24921061,1184720,17644734
adj_rd_s15_e8,tc,5474021,24948496,1184720,17749842
adj_rd_s15_e8,tc,5474021,24998002,1184720,17644104
adj_rd_s15_e8,tc,5474021,24924488,1184720,17637008
adj_rd_s15_e8,tc,5474021,24946668,1184720,17636186
adj_rd_s15_e8,tc,5474021,24927110,1184720,17649592
adj_rd_s15_e8,tc,5474021,24933632,1184720,17636597
adj_rd_s15_e8,tc,5474021,24781565,2641192,26678042
adj_rd_s15_e8,tc,5474021,24836011,1184720,17581617
adj_rd_s15_e8,tc,5474021,24894449,1184720,17578777
adj_rd_s15_e8,tc,5474021,24845621,1184720,17570201
adj_rd_s15_e8,tc,5474021,24836692,1184720,17589223
adj_rd_s15_e8,tc,5474021,24839373,1184720,17602162
adj_rd_s15_e8,tc,5474021,24835363,1184720,17583448
adj_rd_s15_e8,tc,5474021,24838593,1184720,17573823
adj_rd_s15_e8,tc,5474021,24847813,1184720,17567187
adj_rd_s15_e8,tc,5474021,24844399,1184720,17596003
adj_rd_s15_e8,tc,5474021,24852928,1184720,17600426
adj_rd_s15_e8,tc,5474021,24861439,1184720,17575852
adj_rd_s15_e8,tc,5474021,24977202,1184720,17611409
adj_rd_s15_e8,tc,5474021,24883544,1184720,17618053
adj_rd_s15_e8,tc,5474021,24864470,1184720,17620960
adj_rd_s15_e8,tc,5474021,24860342,1184720,17586500
adj_rd_s15_e8,tc,5474021,24843197,2641192,26777501
adj_rd_s15_e8,tc,5474021,24908181,1184720,17672158
adj_rd_s15_e8,tc,5474021,24918517,1184720,17643004
adj_rd_s15_e8,tc,5474021,24930655,1184720,17663581
adj_rd_s15_e8,tc,5474021,24925045,1184720,17659816
adj_rd_s15_e8,tc,5474021,24917372,1184720,17664261
adj_rd_s15_e8,tc,5474021,24938294,1184720,17673856
adj_rd_s15_e8,tc,5474021,24933741,1184720,17658861
adj_rd_s15_e8,tc,5474021,24906951,1184720,17661680
adj_rd_s15_e8,tc,5474021,24911622,1184720,17656349
