#db_name, benchmark, cycle_count, cycle_time_usec, trust_count, trust_time_usecs
ekey_rd_s12_e8,tc,313608,3455382,277423,3025659
ekey_rd_s12_e8,tc,313608,3460195,277423,3027035
ekey_rd_s12_e8,tc,313608,3457649,277423,3026231
ekey_rd_s12_e8,tc,313608,3460584,277423,3031257
ekey_rd_s12_e8,tc,313608,3455597,277423,3035134
ekey_rd_s12_e8,tc,313608,3476178,277423,3024427
ekey_rd_s12_e8,tc,313608,3480933,277423,3015731
ekey_rd_s12_e8,tc,313608,3475138,277423,3025692
ekey_rd_s12_e8,tc,313608,3473926,277423,3015930
ekey_rd_s12_e8,tc,313608,3459790,277423,3009493
ekey_rd_s12_e8,tc,313608,3443725,277423,3010359
ekey_rd_s12_e8,tc,313608,3457527,277423,3002554
ekey_rd_s12_e8,tc,313608,3462486,277423,3001403
ekey_rd_s12_e8,tc,313608,3435066,277423,3006482
ekey_rd_s12_e8,tc,313608,3461549,277423,3011529
ekey_rd_s12_e8,tc,313608,3485026,277423,3031516
ekey_rd_s12_e8,tc,313608,3474372,277423,3024184
ekey_rd_s12_e8,tc,313608,3470304,277423,3027199
ekey_rd_s12_e8,tc,313608,3470958,277423,3029526
ekey_rd_s12_e8,tc,313608,3484962,277423,3024284
ekey_rd_s12_e8,tc,313608,3502798,277423,3099044
ekey_rd_s12_e8,tc,313608,3498604,277423,3094585
ekey_rd_s12_e8,tc,313608,3485870,277423,3099350
ekey_rd_s12_e8,tc,313608,3466830,277423,3089811
ekey_rd_s12_e8,tc,313608,3460646,277423,3070505
ekey_rd_s12_e8,tc,313608,3363447,277423,2886228
ekey_rd_s12_e8,tc,313608,3360984,277423,2892300
ekey_rd_s12_e8,tc,313608,3327809,277423,2895706
ekey_rd_s12_e8,tc,313608,3346139,277423,2893900
ekey_rd_s12_e8,tc,313608,3351075,277423,2893567
ekey_rd_s12_e8,tc,313608,3242833,277423,2864844
ekey_rd_s12_e8,tc,313608,3255843,277423,2855601
ekey_rd_s12_e8,tc,313608,3242187,277423,2854716
ekey_rd_s12_e8,tc,313608,3245171,277423,2850711
ekey_rd_s12_e8,tc,313608,3242959,277423,2854646
