#db_name, benchmark, starting node_id, num_visited, sum_out_deg, total_time_taken_usecs, time_from_main
ekey_rd_s18_e8,bfs,57535,127339,20561760,3972649,39726493
ekey_rd_s18_e8,bfs,49512,127339,20561760,3954702,39547026
ekey_rd_s18_e8,bfs,151462,127340,20561770,3945260,39452607
ekey_rd_s18_e8,bfs,30202,127340,20561770,3956640,39566408
ekey_rd_s18_e8,bfs,102001,127340,20561770,3948556,39485560
ekey_rd_s18_e8,bfs,72643,127339,20561760,3963729,39637295
ekey_rd_s18_e8,bfs,201859,127339,20561760,3969111,39691111
ekey_rd_s18_e8,bfs,68841,127339,20561760,3994051,39940510
ekey_rd_s18_e8,bfs,246947,127339,20561760,4000203,40002039
ekey_rd_s18_e8,bfs,81800,127340,20561770,3975682,39756829
ekey_rd_s18_e8,bfs,119600,127340,20561780,3979926,39799269
ekey_rd_s18_e8,bfs,62776,127340,20561770,3978874,39788749
ekey_rd_s18_e8,bfs,69935,127339,20561760,3964850,39648508
ekey_rd_s18_e8,bfs,233734,127339,20561760,3956197,39561976
ekey_rd_s18_e8,bfs,185769,127340,20561780,3970435,39704357
ekey_rd_s18_e8,bfs,190239,127340,20561770,3965351,39653510
