type,db_name,db_path, num_nodes, num_edges, t_e_read, t_e_insert, t_n_read, t_n_insert
std,s10_e8,/home/puneet/gen_graphs/s10_e8,854,8192,35106,18933,4157,2165
adj,s10_e8,/home/puneet/gen_graphs/s10_e8,854,8192,34576,20504,4136,10909
ekey,s10_e8,/home/puneet/gen_graphs/s10_e8,854,8192,36768,20012,4182,2463
std,s11_e8,/home/puneet/gen_graphs/s11_e8,1628,16384,67869,39739,9486,3698
adj,s11_e8,/home/puneet/gen_graphs/s11_e8,1628,16384,66558,40174,8415,19460
ekey,s11_e8,/home/puneet/gen_graphs/s11_e8,1628,16384,68258,40767,9274,5131
std,s12_e8,/home/puneet/gen_graphs/s12_e8,3115,32768,132636,103646,17914,6273
adj,s12_e8,/home/puneet/gen_graphs/s12_e8,3115,32768,138235,113681,8403,38353
ekey,s12_e8,/home/puneet/gen_graphs/s12_e8,3115,32768,133543,89269,18697,8792
std,s13_e8,/home/puneet/gen_graphs/s13_e8,5990,65536,260460,151243,34514,11903
adj,s13_e8,/home/puneet/gen_graphs/s13_e8,5990,65536,262462,190518,35064,75107
ekey,s13_e8,/home/puneet/gen_graphs/s13_e8,5990,65536,262083,158521,36176,17855
std,s14_e8,/home/puneet/gen_graphs/s14_e8,11545,131072,528652,308422,75586,24074
adj,s14_e8,/home/puneet/gen_graphs/s14_e8,11545,131072,538286,343296,79318,160466
ekey,s14_e8,/home/puneet/gen_graphs/s14_e8,11545,131072,537457,338904,76606,42022
std,s15_e8,/home/puneet/gen_graphs/s15_e8,22128,262144,1104845,662889,149833,66158
adj,s15_e8,/home/puneet/gen_graphs/s15_e8,22128,262144,1157352,725762,156026,373368
ekey,s15_e8,/home/puneet/gen_graphs/s15_e8,22128,262144,1108587,669274,149008,85430
std,s16_e8,/home/puneet/gen_graphs/s16_e8,42369,524288,2287993,1435821,284418,99813
adj,s16_e8,/home/puneet/gen_graphs/s16_e8,42369,524288,2289625,1406313,318242,1011954
ekey,s16_e8,/home/puneet/gen_graphs/s16_e8,42369,524288,2363183,1329777,296183,145687
std,s17_e8,/home/puneet/gen_graphs/s17_e8,81468,1048576,4925602,3805431,580417,191661
adj,s17_e8,/home/puneet/gen_graphs/s17_e8,81468,1048576,4720035,2942968,600752,1381023
ekey,s17_e8,/home/puneet/gen_graphs/s17_e8,81468,1048576,4844206,2721676,570288,327694
std,s18_e8,/home/puneet/gen_graphs/s18_e8,155576,2097152,10519030,5308999,1159569,346298
adj,s18_e8,/home/puneet/gen_graphs/s18_e8,155576,2097152,10869235,5625590,1192874,2779336
ekey,s18_e8,/home/puneet/gen_graphs/s18_e8,155576,2097152,10728614,5638588,1175773,613863
std,s19_e8,/home/puneet/gen_graphs/s19_e8,296688,4194304,22983316,11314219,2211353,584655
adj,s19_e8,/home/puneet/gen_graphs/s19_e8,296688,4194304,22938768,12492948,2289086,5626806
ekey,s19_e8,/home/puneet/gen_graphs/s19_e8,296688,4194304,25644748,12585788,2217322,1362792
std,s20_e8,/home/puneet/gen_graphs/s20_e8,575281,8388608,53664264,23124422,4455084,1429229
adj,s20_e8,/home/puneet/gen_graphs/s20_e8,575281,8388608,51632958,24887442,4527503,12745590
ekey,s20_e8,/home/puneet/gen_graphs/s20_e8,575281,8388608,54157162,27829723,4599559,3378974
