#db_name,bmark,map_t,i0,i1,i2,i3,i4,i5,i6,i7,i8,i9
 adj_rd_s10_e8,pr,755.066,6830.91,6254.26,6255.06,6248.69,6259.32,10838.1,9735.23,6248.53,6241.46,6256.1
adj_rd_s10_e8,pr,773.861,6773.43,6191.02,6151.75,6163.3,6150.65,8392.66,8860.43,7294.87,6153.57,6159.35
adj_rd_s10_e8,pr,753.557,6751.19,6170.07,6140.88,6149.27,6142.3,9328.44,9276.33,6155.24,6142.73,7195.29
adj_rd_s10_e8,pr,766.121,6733.17,6152.9,6138.43,6144.22,9240.98,11087.7,6134.8,6138.36,6137.04,6141.65
adj_rd_s10_e8,pr,752.869,6851.95,6271.57,6271.99,6260.9,7453.82,12584,6834.84,6271.46,6267.65,6272.15
adj_rd_s10_e8,pr,755.18,6803.54,6214.09,6207.09,6217.6,6209.19,6212.79,6312.85,6206.53,6210.98,6202.97
adj_rd_s10_e8,pr,763.14,6760.83,6179.88,6168.76,6165.28,6169.37,6164.47,7270.37,12396.9,6954.29,6168.88
adj_rd_s10_e8,pr,751.367,6763.1,6168.09,6168.48,6170.66,6167.54,9888.27,10484.9,6168.51,6149.25,6186.34
adj_rd_s10_e8,pr,761.317,6754.64,6156.31,6162.27,6154.31,6151.29,6159.67,6150.33,6153.9,9213.01,11182.4
adj_rd_s10_e8,pr,769.274,6829.3,6179.38,6163.93,6163.37,6167.63,6154.33,6163.02,6153.35,6170.67,6156.55
adj_rd_s10_e8,pr,764.75,6783.18,6209.46,6197.97,6185.36,6194.54,6187.17,6194.7,6187.51,6180.01,6171.41
adj_rd_s10_e8,pr,757.567,6759.34,6186.34,6185.2,6171.96,7502,10939.2,6184.85,6184.97,6190.17,6182.91
adj_rd_s10_e8,pr,759.592,6718.66,6150.24,6144.85,6130.14,6672.2,12350.7,7463.09,6143.27,6140.8,6133.7
adj_rd_s10_e8,pr,758.641,6716.16,6125.45,6127.45,6122.6,7456.4,9539.73,7344.52,6213.93,6123.31,6134.24
adj_rd_s10_e8,pr,772.879,6746.4,6186.13,6160.09,6164.35,6162.11,6161.33,6162.64,6166.45,6159.57,6154.58
adj_rd_s10_e8,pr,751.188,10452.1,8495.39,7234.33,6188.9,6179.07,6182.08,6173.47,6181.79,6180.11,6167.53
adj_rd_s10_e8,pr,875.597,8496.76,6931.96,6163.76,6139.48,6148.77,6144.69,6148.93,6147.49,6143.72,6155.76
adj_rd_s10_e8,pr,762.297,6749.47,6141.74,6151.44,6146.63,6153.29,6143.94,6156.81,6149.65,6143.45,6152.43
adj_rd_s10_e8,pr,794.552,8660.27,6792.19,6582.96,6223.63,6216.18,6223.53,6218.81,6219.44,6208.11,6203.46
adj_rd_s10_e8,pr,760.329,6766.41,6186.05,6182.69,6184.5,6175.08,6189.57,6175.43,6177.37,6174.56,6176.75
adj_rd_s10_e8,pr,896.44,9749.97,6478.08,6425.37,6416.27,6421.23,6418.38,6412.48,6419.74,6413.45,6425.94
adj_rd_s10_e8,pr,855.539,8459.44,7031.91,6452.01,6137.97,6140.28,6143.62,6145.27,6141.1,6145.49,6362.21
adj_rd_s10_e8,pr,752.189,6846.59,6704.73,6457.74,6137.27,6132.44,6133.02,6130.87,6133.02,6131.6,6132.73
adj_rd_s10_e8,pr,761.495,6911.02,6333.77,6311.11,6324.71,10356.4,10314.7,6316.89,6312.73,6302.42,6294.3
adj_rd_s10_e8,pr,799.116,6940.82,6323.38,6313.44,6315.73,6314.11,6305.65,6314.91,6304.72,6312.8,6307.01
adj_rd_s10_e8,pr,785.243,6684.48,6104.36,6080.44,6087.3,6080.09,6080.81,6078.1,6085.13,6080.04,6084.1
adj_rd_s10_e8,pr,771.277,6659.48,6072.41,6062.65,6062.56,6054.72,6058.78,6051.61,6065.97,6069.53,6068.62
adj_rd_s10_e8,pr,883.826,8485.36,7629.06,6183.83,6063.08,6070.99,6064.49,6060.83,6068.12,6061.33,6073.17
adj_rd_s10_e8,pr,987.625,9626.57,7737.5,6104.47,6091.03,6101.24,6093.58,6095.9,6089.13,6093.13,6088.65
adj_rd_s10_e8,pr,778.259,6703.4,6090.66,6077.86,6082.12,6073.6,6082.88,6071.17,6074.77,6078.2,6074.53
