#db_name,bmark,map_t,i0,i1,i2,i3,i4,i5,i6,i7,i8,i9
 ekey_rd_s10_e8,pr,4783.01,29492.4,27816.7,27819.8,27789,27801.7,27809.2,27852,27829.2,27814.6,27790
ekey_rd_s10_e8,pr,4444.15,28460.3,28232.5,28196.5,28106.5,30869.3,30607.8,28073.2,28103.5,28087.9,28111
ekey_rd_s10_e8,pr,4409.38,28546.6,28339.2,36411.4,28258.2,28259.7,28249.1,28203.4,28169.5,28177.5,37539.9
ekey_rd_s10_e8,pr,5972.93,30548.3,28839.8,28758.5,28786.2,28743.2,28777.6,37931.4,57355.3,57028.9,57739.3
ekey_rd_s10_e8,pr,5879.76,38829.1,54120.7,54409.5,54752,54623.5,54654.5,54648,54740.1,54661.5,49569.3
ekey_rd_s10_e8,pr,4354.64,29108.7,35222.6,28129.7,28041.1,28022.6,28008.3,28011.1,36750.8,55855.8,56210.1
ekey_rd_s10_e8,pr,4425.22,28179.3,28011.4,27951.4,36212.1,27980.4,27965.4,27986.9,27980,27957.6,27949.6
ekey_rd_s10_e8,pr,4246.07,26768.8,34796.8,26516.4,26521.2,26503.6,26518.9,26560.1,26558.4,26660.6,26577.1
ekey_rd_s10_e8,pr,4688.35,30240.6,27959.1,28017.2,28008.4,27966,28044.5,27984.1,28018.1,27968.9,31767.8
ekey_rd_s10_e8,pr,4465.95,30020,34655.2,28124,28146.6,28163.5,28148.5,28171.1,46943.2,56339.9,56202.9
ekey_rd_s10_e8,pr,5253.09,30205,27555.5,48584.7,54749.9,54796.1,41544.7,45694.1,55096.1,50487.2,43783.8
ekey_rd_s10_e8,pr,8532.39,27809.4,27246.4,27235.8,27167.1,27156.2,30088.8,54492.5,53491.4,54480.1,54422.8
ekey_rd_s10_e8,pr,5263.25,30391.2,27915.7,27911.1,27927.6,27908.4,27904,27893.7,27894.3,40452.1,55752.5
ekey_rd_s10_e8,pr,4470.72,33575.4,30577.6,28939.2,28891.9,38714.6,57910.5,57775.7,57904.5,57851.2,57996.3
ekey_rd_s10_e8,pr,4475.28,28486.6,35806,28005.2,27959.6,27975.7,28037.1,27966.4,28015.5,27984.4,28009.6
ekey_rd_s10_e8,pr,4205.05,28100.4,33183.5,26459.8,26448.2,26434.8,26487.6,26513.5,26472.8,26440.2,26442.2
ekey_rd_s10_e8,pr,5536.85,27849.9,26345.4,26360.1,26353,26355.7,26373.3,26403.5,26396.9,26377.8,26363.6
ekey_rd_s10_e8,pr,5770.03,28196.8,26828.1,26859.9,26767.2,26778.2,26884,26818.1,26887.8,26866.9,26873.9
ekey_rd_s10_e8,pr,5838.11,29473,28405.7,28317.3,28262.2,28274.2,28299.8,28321.3,46550.2,56670.3,45638.7
ekey_rd_s10_e8,pr,4483.98,28200.9,28016.8,28015.6,28079.5,34207.7,28008.4,27981.6,27973.7,27974.6,28100.7
ekey_rd_s10_e8,pr,5663.26,28943.6,27052.7,26985.5,27138.6,27140.4,27063.9,26960,27072.9,27061.5,26973
ekey_rd_s10_e8,pr,4513.82,29426.1,28830.5,28814,28670.1,28727.4,28703.7,28727.6,39603.8,57087.6,57534
ekey_rd_s10_e8,pr,5239.31,27588.4,26171.9,26204.2,26112.6,26169.7,26174,26131.3,26186.5,26153.6,26144.7
ekey_rd_s10_e8,pr,5901.26,30932.5,27954.7,27883.3,27920,27860.3,27837.3,27889.8,27862.4,27859.3,27882.6
