#db_name,bmark,map_t,i0,i1,i2,i3,i4,i5,i6,i7,i8,i9
 std_rd_s10_e8,pr,760.929,29258.7,32100.9,25915.6,25954.1,25938.7,45692,51494.5,51628.9,51381.4,51686.2
std_rd_s10_e8,pr,757.354,30258.5,28038.7,25489.8,25456.7,25238.2,25225.3,25204.7,25213.3,25495.8,25432.6
std_rd_s10_e8,pr,751.974,26580.6,31904.4,25205.9,25199.7,25103.5,25104.4,25121.5,25112,25194.1,25233.8
std_rd_s10_e8,pr,755.672,26820.1,25630.5,31662.4,25484.8,25121.8,25081.6,25094.5,25093,25432.2,25466.7
std_rd_s10_e8,pr,752.776,26500.8,33384.3,25181.3,25120.2,25107.7,25070.7,25065.4,25083,25096.7,25117
std_rd_s10_e8,pr,766.671,26923.8,28956.4,30474.6,25584.2,25234.2,25241.1,25239.5,25277.1,25592.1,25566.4
std_rd_s10_e8,pr,761.032,27449.4,26215.4,34298.7,26165,26036.9,26088.2,26073.3,26550.7,38601.8,37272.5
std_rd_s10_e8,pr,755.937,26958.9,25775.9,25794.6,31622.2,42837.7,50586.8,50647.6,50655.8,51146.7,47611.2
std_rd_s10_e8,pr,761.592,27697.5,34594.5,26428.2,26401,26295.8,26301.3,26269.4,26297.6,26363,26374.1
std_rd_s10_e8,pr,758.701,27035.3,25909.5,25900.9,31923.7,25678,25619.8,25617.4,25635.9,32764.8,51280.7
std_rd_s10_e8,pr,752.109,28497.6,25605.2,25598.5,25595.2,25809.1,27756,27768.9,27774.8,27831.8,27861.1
std_rd_s10_e8,pr,772.762,26517.5,33294.7,38155.9,50194.2,49915.7,50199.6,50225.9,50225,50175.8,50196.7
std_rd_s10_e8,pr,751.66,26945.9,25725.7,25712.7,25697.1,33483.1,25349.3,25384.3,25386.2,25635,25668.5
std_rd_s10_e8,pr,762.426,26886.8,31765.5,25613.4,25587.9,25239.5,25243,25262.9,25288.7,25670.5,25586.2
std_rd_s10_e8,pr,749.292,27456.3,26234.5,26210.6,34218,26101.8,26055.5,26045.1,40794.7,51935,52095.9
std_rd_s10_e8,pr,756.174,27614,34357.5,49879.1,52153.2,52189.2,52123.2,51004.6,52081.7,52025,52067
std_rd_s10_e8,pr,775.777,26871.6,24659,24614.9,24562.9,24505.4,24631,24536.7,24553.2,24576.1,24597.7
std_rd_s10_e8,pr,848.582,29964.3,25615.5,25595.5,25712.4,25547.5,25550.2,25551.4,25551.2,25591.8,25605
std_rd_s10_e8,pr,886.092,29788.3,24854.5,24818.5,24801.4,24763.3,24789.9,24773.4,24758.9,24791.6,24893.6
std_rd_s10_e8,pr,978.735,31497.6,26675.9,26645.4,26626.4,26413.3,26423.3,26448.2,26443.5,26633.7,26675.9
std_rd_s10_e8,pr,763.18,26508,25281.2,25267.2,25319.1,24995.5,24954.4,24963.6,24973,25348.2,25271
std_rd_s10_e8,pr,775.627,26716.5,24934.8,24920.6,24948.5,24955.3,24914.4,24907.3,45674.9,48904,49605
std_rd_s10_e8,pr,833.226,28666.8,24613.9,24590.5,24590.6,24584.1,24604.4,24612.3,24590.3,24634.1,24629.1
std_rd_s10_e8,pr,963.142,29428.1,25252.6,25255.5,25257.4,25303.6,25291.2,25291.9,44765.5,50153.3,50342.3
