Type,S,Real_Time,User_Timer,Sys_Time,Major_Page_Faults,Max_Resident_Set
RO,10,0.53,0.56,0.05,13,17664
Non-RO,10,0.54,0.61,0.03,0,17668
RO,11,0.71,0.82,0.12,0,22800
Non-RO,11,0.73,0.85,0.06,0,22740
RO,12,0.77,1.29,0.12,0,26316
Non-RO,12,0.68,1.23,0.11,0,26596
RO,13,0.87,2.19,0.14,0,35212
Non-RO,13,0.73,2.01,0.17,0,35544
RO,14,1.11,4.04,0.19,0,47476
Non-RO,14,1.14,3.77,0.26,0,47424
RO,15,1.63,7.49,0.57,0,63396
Non-RO,15,1.59,6.97,0.53,0,67856
RO,16,2.61,14.52,0.89,0,93104
Non-RO,16,2.51,14.69,0.9,0,93600
RO,17,4.33,29.63,1.93,0,129848
Non-RO,17,4.25,28.83,1.89,0,125004
RO,18,7.78,56.03,3.7,0,198100
Non-RO,18,7.95,57.77,3.63,0,172156
RO,19,15.63,117.58,7.52,0,291668
Non-RO,19,15.43,119.36,6.93,0,279024
RO,20,29.75,246.05,14.14,0,449724
Non-RO,20,30.1,242.57,14.39,0,440648
RO,21,60.48,508.88,27.37,0,786836
Non-RO,21,58.97,483.43,27.74,0,791920
RO,22,122.67,1016.79,57.31,0,1451696
Non-RO,22,126.7,1054.06,59.62,0,1442296
RO,23,250.26,2137.58,115.14,0,2670328
Non-RO,23,256.28,2171.65,121.01,0,2682408
RO,24,515.28,4365.22,230.9,0,5091644
Non-RO,24,511.29,4340.54,236.92,0,5103268
RO,25,1078.73,8650.22,455.35,1,9702732
Non-RO,25,1128.27,8719.75,486,0,9739164
RO,26,2174.74,18362.25,968.76,2,18343700
Non-RO,26,2325.33,18473.91,978.3,0,18423224
RO,27,4824.52,37437.55,1962.05,4310,35856300
Non-RO,27,4782.17,37498.57,1957.24,12,35949024
