#is_readopt,scale,num_edges,num_nodes,type,real_t,user_t,sys_t,pagefaults,max_res_set
yes,s12_e8,32768,4096,std,0.41,0.53,0.02,0,11588
no,s12_e8,32768,4096,std,0.42,0.52,0.04,0,11664
yes,s13_e8,65536,8192,std,0.55,0.65,0.09,0,14824
no,s13_e8,65536,8192,std,0.56,0.65,0.09,0,15156
yes,s14_e8,131072,16384,std,0.58,0.87,0.16,0,24224
no,s14_e8,131072,16384,std,0.59,0.90,0.10,0,23080
yes,s15_e8,262144,32768,std,0.66,1.40,0.25,0,37108
no,s15_e8,262144,32768,std,0.74,1.41,0.29,0,35700
yes,s16_e8,524288,65536,std,0.73,2.48,0.54,0,53652
no,s16_e8,524288,65536,std,1.00,2.37,0.63,0,59724
yes,s17_e8,1048576,131072,std,1.19,4.53,1.17,0,82000
no,s17_e8,1048576,131072,std,1.22,4.79,0.88,0,85572
yes,s18_e8,2097152,262144,std,1.84,8.39,1.93,0,135716
no,s18_e8,2097152,262144,std,1.90,8.84,2.00,0,135088
yes,s19_e8,4194304,524288,std,3.10,16.49,4.23,0,250516
no,s19_e8,4194304,524288,std,3.17,17.74,4.02,0,234116
yes,s20_e8,8388608,1048576,std,5.92,36.16,8.28,0,391976
no,s20_e8,8388608,1048576,std,5.74,34.98,8.11,0,412384
yes,s21_e8,16777216,2097152,std,10.80,66.38,15.51,0,723904
no,s21_e8,16777216,2097152,std,10.48,65.58,15.55,0,727940
yes,s22_e8,33554432,4194304,std,21.37,136.39,30.51,0,1317468
no,s22_e8,33554432,4194304,std,22.11,144.92,31.93,0,1321276
yes,s23_e8,67108864,8388608,std,41.01,281.39,61.70,0,2520628
no,s23_e8,67108864,8388608,std,43.07,293.88,62.45,0,2518396
yes,s24_e8,134217728,16777216,std,82.22,581.28,119.29,0,4873888
no,s24_e8,134217728,16777216,std,85.44,599.62,129.00,0,4877968
yes,s25_e8,268435456,33554432,std,165.15,1161.99,243.21,1,9449764
no,s25_e8,268435456,33554432,std,169.17,1191.31,246.64,0,9466132
yes,s26_e8,536870912,67108864,std,331.94,2394.55,523.25,0,18126324
no,s26_e8,536870912,67108864,std,339.40,2478.49,501.80,0,18123628
yes,s27_e8,1073741824,134217728,std,659.90,4873.72,981.50,5,35563884
no,s27_e8,1073741824,134217728,std,667.11,4906.32,989.92,8,35564192
