#db_name, benchmark, starting node_id, num_visited, sum_out_deg, time_taken_usecs
std_rd_cit-Patents,bfs,5430537,20548,290000,1525678
std_rd_cit-Patents,bfs,5543617,27,390,2724
std_rd_cit-Patents,bfs,5909459,11080,205880,2055582
std_rd_cit-Patents,bfs,4309566,14,140,2143
std_rd_cit-Patents,bfs,5940711,17248,374030,5351608
std_rd_cit-Patents,bfs,4173241,5,40,998
std_rd_cit-Patents,bfs,4835252,10,150,3193
std_rd_cit-Patents,bfs,4302972,15,140,3088
std_rd_cit-Patents,bfs,5054727,84,930,20185
std_rd_cit-Patents,bfs,4071601,5,40,1036
std_rd_cit-Patents,bfs,4563695,166,1930,44448
std_rd_cit-Patents,bfs,4810375,67,700,16224
std_rd_cit-Patents,bfs,5463090,1483,24640,457393
std_rd_cit-Patents,bfs,5556675,31,440,8973
std_rd_cit-Patents,bfs,4441145,16,150,3403
std_rd_cit-Patents,bfs,4531504,5,40,1101
std_rd_cit-Patents,bfs,5302733,1710,28520,63731
std_rd_cit-Patents,bfs,5199798,451,5440,16095
std_rd_cit-Patents,bfs,3862924,12,110,256
std_rd_cit-Patents,bfs,4040807,11,100,250
std_rd_cit-Patents,bfs,4782344,318,3830,12842
std_rd_cit-Patents,bfs,4297399,8,70,341
std_rd_cit-Patents,bfs,5537304,27,430,1492
std_rd_cit-Patents,bfs,5270872,755,9400,30568
std_rd_cit-Patents,bfs,4573011,20,190,573
std_rd_cit-Patents,bfs,5637068,89,1310,4266
std_rd_cit-Patents,bfs,5826343,47,600,2413
std_rd_cit-Patents,bfs,4351932,37,370,1464
std_rd_cit-Patents,bfs,3907884,4,30,146
std_rd_cit-Patents,bfs,5341244,121,1600,6922
std_rd_cit-Patents,bfs,5276310,208,3000,9375
std_rd_cit-Patents,bfs,3982728,9,80,258
std_rd_cit-Patents,bfs,5302733,1710,28520,28037
std_rd_cit-Patents,bfs,5199798,451,5440,9248
std_rd_cit-Patents,bfs,3862924,12,110,199
std_rd_cit-Patents,bfs,4040807,11,100,197
std_rd_cit-Patents,bfs,4782344,318,3830,6624
std_rd_cit-Patents,bfs,4297399,8,70,154
std_rd_cit-Patents,bfs,5537304,27,430,679
std_rd_cit-Patents,bfs,5270872,755,9400,16357
std_rd_cit-Patents,bfs,4573011,20,190,429
std_rd_cit-Patents,bfs,5637068,89,1310,2423
std_rd_cit-Patents,bfs,5826343,47,600,1105
std_rd_cit-Patents,bfs,4351932,37,370,845
std_rd_cit-Patents,bfs,3907884,4,30,80
std_rd_cit-Patents,bfs,5341244,121,1600,3381
std_rd_cit-Patents,bfs,5276310,208,3000,4878
std_rd_cit-Patents,bfs,3982728,9,80,180
