#db_name, benchmark, starting node_id, num_visited, sum_out_deg, total_time_taken_usecs, time_from_main
std_rd_s10_e8,bfs,176,738,79290,11831,118311
std_rd_s10_e8,bfs,260,738,79290,11697,116976
std_rd_s10_e8,bfs,51,738,79290,11681,116812
std_rd_s10_e8,bfs,603,738,79290,11637,116370
std_rd_s10_e8,bfs,337,738,79290,11623,116236
std_rd_s10_e8,bfs,306,738,79290,11592,115927
std_rd_s10_e8,bfs,123,738,79290,11650,116507
std_rd_s10_e8,bfs,656,738,79290,11640,116407
std_rd_s10_e8,bfs,88,738,79290,11603,116036
std_rd_s10_e8,bfs,859,739,79300,11817,118176
std_rd_s10_e8,bfs,141,738,79290,11688,116887
std_rd_s10_e8,bfs,565,738,79290,11774,117746
std_rd_s10_e8,bfs,857,738,79290,11629,116294
std_rd_s10_e8,bfs,297,738,79290,11646,116466
std_rd_s10_e8,bfs,167,739,79310,11631,116316
std_rd_s10_e8,bfs,782,738,79290,11621,116217
