#db_name, benchmark, cycle_count, cycle_time_usec, trust_count, trust_time_usecs
std_rd_s11_e8,tc,110872,1652475,123977,648871
std_rd_s11_e8,tc,110872,1664492,123977,646047
std_rd_s11_e8,tc,110872,1683182,123977,634495
std_rd_s11_e8,tc,110872,1669674,123977,633867
std_rd_s11_e8,tc,110872,1672965,123977,636676
std_rd_s11_e8,tc,110872,1677990,123977,633999
std_rd_s11_e8,tc,110872,1694044,123977,637131
std_rd_s11_e8,tc,110872,1694932,123977,631377
std_rd_s11_e8,tc,110872,1707005,123977,636266
std_rd_s11_e8,tc,110872,1712915,123977,635601
std_rd_s11_e8,tc,110872,1727053,123977,633539
std_rd_s11_e8,tc,110872,1713338,123977,632885
std_rd_s11_e8,tc,110872,1721244,123977,634667
std_rd_s11_e8,tc,110872,1724691,123977,632512
std_rd_s11_e8,tc,110872,1736319,123977,633044
std_rd_s11_e8,tc,110872,1735163,123977,634299
std_rd_s11_e8,tc,110872,1662668,123977,631290
std_rd_s11_e8,tc,110872,1665347,123977,629368
std_rd_s11_e8,tc,110872,1672825,123977,630459
std_rd_s11_e8,tc,110872,1675570,123977,628694
std_rd_s11_e8,tc,110872,1685602,123977,629951
std_rd_s11_e8,tc,110872,1685347,123977,632662
std_rd_s11_e8,tc,110872,1697065,123977,630525
std_rd_s11_e8,tc,110872,1702555,123977,630726
std_rd_s11_e8,tc,110872,1709206,123977,626699
std_rd_s11_e8,tc,110872,1709481,123977,628586
std_rd_s11_e8,tc,110872,1717894,123977,629619
std_rd_s11_e8,tc,110872,1730990,123977,629443
std_rd_s11_e8,tc,110872,1722720,123977,629989
std_rd_s11_e8,tc,110872,1744025,123977,631897
std_rd_s11_e8,tc,110872,1742969,123977,629476
std_rd_s11_e8,tc,110872,1752426,123977,631219
std_rd_s11_e8,tc,110872,1681515,123977,633224
std_rd_s11_e8,tc,110872,1697719,123977,629160
std_rd_s11_e8,tc,110872,1696577,123977,629084
std_rd_s11_e8,tc,110872,1698111,123977,628369
std_rd_s11_e8,tc,110872,1706767,123977,628735
std_rd_s11_e8,tc,110872,1713478,123977,630052
std_rd_s11_e8,tc,110872,1717619,123977,632992
std_rd_s11_e8,tc,110872,1726147,123977,631468
std_rd_s11_e8,tc,110872,1733047,123977,629632
std_rd_s11_e8,tc,110872,1735789,123977,627563
std_rd_s11_e8,tc,110872,1745598,123977,628166
std_rd_s11_e8,tc,110872,1750191,123977,629950
std_rd_s11_e8,tc,110872,1752287,123977,639757
std_rd_s11_e8,tc,110872,1753931,123977,640089
std_rd_s11_e8,tc,110872,1760978,123977,636918
std_rd_s11_e8,tc,110872,1768622,123977,637575
std_rd_s11_e8,tc,110872,1677455,123977,634786
std_rd_s11_e8,tc,110872,1685459,123977,633411
std_rd_s11_e8,tc,110872,1692711,123977,633385
std_rd_s11_e8,tc,110872,1692112,123977,629578
std_rd_s11_e8,tc,110872,1704676,123977,633483
std_rd_s11_e8,tc,110872,1701802,123977,636661
std_rd_s11_e8,tc,110872,1712948,123977,633830
std_rd_s11_e8,tc,110872,1716331,123977,633006
std_rd_s11_e8,tc,110872,1728079,123977,633232
std_rd_s11_e8,tc,110872,1732935,123977,636645
std_rd_s11_e8,tc,110872,1736177,123977,632193
std_rd_s11_e8,tc,110872,1744258,123977,635054
std_rd_s11_e8,tc,110872,1754472,123977,631006
std_rd_s11_e8,tc,110872,1761434,123977,632014
std_rd_s11_e8,tc,110872,1765077,123977,630641
std_rd_s11_e8,tc,110872,1776060,123977,631895
std_rd_s11_e8,tc,110872,1666616,123977,634973
std_rd_s11_e8,tc,110872,1666067,123977,630266
std_rd_s11_e8,tc,110872,1671020,123977,629607
std_rd_s11_e8,tc,110872,1679032,123977,630027
std_rd_s11_e8,tc,110872,1682650,123977,629188
std_rd_s11_e8,tc,110872,1717223,123977,628716
std_rd_s11_e8,tc,110872,1696011,123977,631143
std_rd_s11_e8,tc,110872,1708301,123977,631269
std_rd_s11_e8,tc,110872,1704953,123977,629451
std_rd_s11_e8,tc,110872,1715410,123977,627053
std_rd_s11_e8,tc,110872,1713270,123977,632248
std_rd_s11_e8,tc,110872,1723676,123977,630351
std_rd_s11_e8,tc,110872,1727266,123977,632668
std_rd_s11_e8,tc,110872,1734877,123977,631165
std_rd_s11_e8,tc,110872,1747197,123977,629192
std_rd_s11_e8,tc,110872,1742644,123977,630277
std_rd_s11_e8,tc,110872,1702739,123977,645245
std_rd_s11_e8,tc,110872,1704538,123977,644479
std_rd_s11_e8,tc,110872,1719142,123977,639185
std_rd_s11_e8,tc,110872,1718561,123977,640507
std_rd_s11_e8,tc,110872,1724262,123977,641615
std_rd_s11_e8,tc,110872,1734941,123977,640588
std_rd_s11_e8,tc,110872,1742955,123977,645265
