#db_name, benchmark, starting node_id, num_visited, sum_out_deg, total_time_taken_usecs
std_rd_s15_e8,bfs,0,18588,2535540,17682395
std_rd_s15_e8,bfs,0,18588,2535540,44402564
std_rd_s15_e8,bfs,0,18588,2535540,71047150
std_rd_s15_e8,bfs,0,18588,2535540,97833832
std_rd_s15_e8,bfs,0,18588,2535540,126142336
std_rd_s15_e8,bfs,0,18588,2535540,157360301
std_rd_s15_e8,bfs,0,18588,2535540,192647104
std_rd_s15_e8,bfs,5185,18588,2535540,1764462
std_rd_s15_e8,bfs,7013,18589,2535550,4514357
std_rd_s15_e8,bfs,17204,18588,2535540,7165288
std_rd_s15_e8,bfs,3625,18588,2535540,9808481
std_rd_s15_e8,bfs,4662,18588,2535540,12904699
std_rd_s15_e8,bfs,30273,18588,2535540,15796854
std_rd_s15_e8,bfs,31761,18588,2535540,19289521
std_rd_s15_e8,bfs,8665,18588,2535540,21777437
std_rd_s15_e8,bfs,32467,18589,2535550,26836904
std_rd_s15_e8,bfs,32191,18589,2535550,31774877
std_rd_s15_e8,bfs,22588,18588,2535540,37970493
std_rd_s15_e8,bfs,8257,18588,2535540,43857844
std_rd_s15_e8,bfs,30751,18588,2535540,48534854
std_rd_s15_e8,bfs,29840,18589,2535570,52332700
std_rd_s15_e8,bfs,7872,18588,2535540,56870498
std_rd_s15_e8,bfs,29841,18588,2535540,61190699
