#db_name, benchmark, starting node_id, num_visited, sum_out_deg, time_taken_usecs
std_rd_s16_e8,bfs,41820,35302,5108030,30804871
std_rd_s16_e8,bfs,41524,35301,5108020,93209401
std_rd_s16_e8,bfs,42258,35301,5108020,158319521
std_rd_s16_e8,bfs,24920,35301,5108020,237822540
std_rd_s16_e8,bfs,43920,35302,5108030,342603471
std_rd_s16_e8,bfs,16463,35301,5108020,464715930
std_rd_s16_e8,bfs,41257,35301,5108020,584122564
std_rd_s16_e8,bfs,30745,35301,5108020,682159223
std_rd_s16_e8,bfs,1441,35301,5108020,779406877
std_rd_s16_e8,bfs,41670,35301,5108020,877252355
std_rd_s16_e8,bfs,33429,35301,5108020,1036020534
std_rd_s16_e8,bfs,41651,35301,5108020,1075293590
std_rd_s16_e8,bfs,41676,35302,5108030,1170009844
